num_keys,r,layers,epsilon,bucket,build_time,query_time,space,metadata,Z
10000000,1,4,-0.1,128,5833048334,1932360182,11234222,171740,11062482
10000000,1,4,-0.1,256,5731379213,1931038616,11146426,85856,11060570
10000000,1,4,-0.05,32,5025313710,1902937942,11129926,654208,10475718
10000000,1,4,-0.05,64,5324795708,1902125077,10851325,328522,10522803
10000000,1,4,-0.05,128,5466219885,1895754719,10770136,165516,10604620
10000000,1,4,-0.05,256,5505052074,1898358285,10793739,83556,10710183
10000000,1,4,0,32,4604533935,1874787882,10802453,635434,10167019
10000000,1,4,0,64,4741622665,1863224028,10492046,317942,10174104
10000000,1,4,0,128,4819093437,1863518233,10354706,159306,10195400
10000000,1,4,0,256,4844104484,1866216480,10319106,79994,10239112
10000000,1,4,0.05,32,4318421532,1865375863,11160993,656532,10504461
10000000,1,4,0.05,64,4323737654,1867626812,10832919,328272,10504647
10000000,1,4,0.05,128,4313176404,1864873257,10668315,164130,10504185
10000000,1,4,0.05,256,4335417071,1858181649,10587466,82076,10505390
10000000,1,4,0.1,32,4210061170,1871311771,11687574,687508,11000066
10000000,1,4,0.1,64,4210088233,1860276157,11343822,343756,11000066
10000000,1,4,0.1,128,4196442514,1858114896,11171944,171878,11000066
10000000,1,4,0.1,256,4215392439,1852612998,11086006,85940,11000066
10000000,1,4,0.15,32,4171152154,1869319890,12218753,718752,11500001
10000000,1,4,0.15,64,4162632004,1860889321,11859377,359376,11500001
10000000,1,4,0.15,128,4177379128,1867251128,11679689,179688,11500001
10000000,1,4,0.15,256,4183296997,1855846572,11589845,89844,11500001
10000000,1,4,0.2,32,4126843571,1872205894,12750003,750002,12000001
10000000,1,4,0.2,64,4124344175,1867900910,12375003,375002,12000001
10000000,1,4,0.2,128,4125536148,1856737297,12187503,187502,12000001
10000000,1,4,0.2,256,4128911327,1860550421,12093753,93752,12000001
10000000,2,2,-0.2,32,6822844072,3449087911,23995074,500002,23495072
10000000,2,2,-0.2,64,6919495311,3430861439,23577426,250002,23327424
10000000,2,2,-0.2,128,6110225649,3420846766,22876184,125002,22751182
10000000,2,2,-0.2,256,6555062090,3439778080,23858196,62502,23795694
10000000,2,2,-0.15,32,5906650854,3413261358,23139774,531252,22608522
10000000,2,2,-0.15,64,6452250587,3400608018,23132106,265626,22866480
10000000,2,2,-0.15,128,6062750662,3388876804,22635572,132814,22502758
10000000,2,2,-0.15,256,6415422476,3390269292,22734896,66408,22668488
10000000,2,2,-0.1,32,5498436069,3382113993,22469542,562502,21907040
